 9.36666666 -24.0000000 Ant  Pyx
13.66666666 -82.5000000 Aps
13.66666666 -75.0000000 Aps  Cha
13.66666666 -70.0000000 Aps  Mus
14.75000000 -70.0000000 Aps  Cir
17.00000000 -70.0000000 Aps  TrA
17.00000000 -67.5000000 Aps  TrA
17.50000000 -67.5000000 Aps  Ara
18.00000000 -67.5000000 Aps  Pav
18.00000000 -75.0000000 Aps  Pav
18.00000000 -82.5000000 Aps  Oct
13.66666666 -82.5000000 Aps  Oct
20.53333333 -00.0000000 Aqr
20.53333333 +02.0000000 Aqr  Aql
20.83333333 +02.0000000 Aqr  Del
21.33333333 +02.0000000 Aqr  Equ
21.46666666 +02.0000000 Aqr  Peg
21.46666666 +02.7500000 Aqr  Peg
21.66666666 +02.7500000 Aqr  Peg
21.66666666 +01.7500000 Aqr  Peg
22.00000000 +01.7500000 Aqr  Peg
22.00000000 +02.0000000 Aqr  Peg
22.75000000 +02.0000000 Aqr  Peg
22.75000000 -00.0000000 Aqr  Psc
22.75000000 -04.0000000 Aqr  Psc
23.83333333 -04.0000000 Aqr  Psc
23.83333333 -07.0000000 Aqr  Psc
23.83333333 -25.5000000 Aqr  Cet
23.00000000 -25.5000000 Aqr  Scl
21.86666666 -25.5000000 Aqr  PsA
21.86666666 -09.0000000 Aqr  Cap
21.33333333 -09.0000000 Aqr  Cap
21.33333333 -15.0000000 Aqr  Cap
20.53333333 -15.0000000 Aqr  Cap
20.53333333 -09.0000000 Aqr  Cap
20.53333333 -00.0000000 Aqr  Aql
18.58333333 -00.0000000 Aql
18.58333333 +02.0000000 Aql  Ser2
18.86666666 +02.0000000 Aql  Ser2
18.86666666 +06.2500000 Aql  Ser2
18.66222222 +06.2500000 Aql  Ser2
18.66222222 +12.0000000 Aql  Oph
18.86666666 +12.0000000 Aql  Her
18.86666666 +18.5000000 Aql  Her
19.00000000 +18.5000000 Aql  Sge
19.00000000 +16.1666666 Aql  Sge
19.83333333 +16.1666666 Aql  Sge
19.83333333 +15.7500000 Aql  Sge
20.14166666 +15.7500000 Aql  Sge
20.14166666 +08.5000000 Aql  Del
20.30000000 +08.5000000 Aql  Del
20.30000000 +02.0000000 Aql  Del
20.53333333 +02.0000000 Aql  Del
20.53333333 -00.0000000 Aql  Aqr
20.53333333 -09.0000000 Aql  Aqr
20.00000000 -09.0000000 Aql  Cap
20.00000000 -12.0333333 Aql  Cap
18.86666666 -12.0333333 Aql  Sgr
18.86666666 -04.0000000 Aql  Sct
18.58333333 -04.0000000 Aql  Sct
18.58333333 -00.0000000 Aql  Ser2
16.42083333 -60.0000000 Ara
16.42083333 -45.5000000 Ara  Nor
17.83333333 -45.5000000 Ara  Sco
18.00000000 -45.5000000 Ara  CrA
18.00000000 -57.0000000 Ara  Tel
17.50000000 -57.0000000 Ara  Pav
17.50000000 -67.5000000 Ara  Pav
17.00000000 -67.5000000 Ara  Aps
16.83333333 -67.5000000 Ara  TrA
16.83333333 -65.0000000 Ara  TrA
16.75000000 -65.0000000 Ara  TrA
16.75000000 -63.5833333 Ara  TrA
16.58333333 -63.5833333 Ara  TrA
16.58333333 -61.0000000 Ara  TrA
16.42083333 -61.0000000 Ara  TrA
16.42083333 -60.0000000 Ara  TrA
 2.00000000 +09.9166666 Ari
 1.66666666 +09.9166666 Ari  Psc
 1.66666666 +25.0000000 Ari  Psc
 1.91666666 +25.0000000 Ari  Tri
 1.91666666 +27.2500000 Ari  Tri
 2.41666666 +27.2500000 Ari  Tri
 2.41666666 +30.6666666 Ari  Tri
 2.71666666 +30.6666666 Ari  Tri
 3.36666666 +30.6666666 Ari  Per
 3.36666666 +19.0000000 Ari  Tau
 3.28333333 +19.0000000 Ari  Tau
 3.28333333 +09.9166666 Ari  Tau
 2.00000000 +09.9166666 Ari  Cet
 4.50000000 +30.6666666 Aur
 4.50000000 +36.0000000 Aur  Per
 4.69166666 +36.0000000 Aur  Per
 4.69166666 +52.5000000 Aur  Per
 5.00000000 +52.5000000 Aur  Cam
 5.00000000 +56.0000000 Aur  Cam
 6.10000000 +56.0000000 Aur  Cam
 6.10000000 +54.0000000 Aur  Lyn
 6.50000000 +54.0000000 Aur  Lyn
 6.50000000 +50.0000000 Aur  Lyn
 6.80000000 +50.0000000 Aur  Lyn
 6.80000000 +44.5000000 Aur  Lyn
 7.36666666 +44.5000000 Aur  Lyn
 7.36666666 +35.5000000 Aur  Lyn
 6.53333333 +35.5000000 Aur  Gem
 6.53333333 +28.0000000 Aur  Gem
 5.88333333 +28.0000000 Aur  Gem
 5.88333333 +28.5000000 Aur  Tau
 4.75000000 +28.5000000 Aur  Tau
 4.75000000 +30.0000000 Aur  Tau
 4.50000000 +30.0000000 Aur  Tau
 4.50000000 +30.6666666 Aur  Tau
15.08333333 +08.0000000 Boo
13.50000000 +08.0000000 Boo  Vir
13.50000000 +15.0000000 Boo  Vir
13.50000000 +28.5000000 Boo  Com
13.95833333 +28.5000000 Boo  CVn
13.95833333 +30.7500000 Boo  CVn
14.03333333 +30.7500000 Boo  CVn
14.03333333 +48.5000000 Boo  CVn
14.03333333 +55.5000000 Boo  UMa
14.41666666 +55.5000000 Boo  UMa
15.25000000 +55.5000000 Boo  Dra
15.25000000 +53.0000000 Boo  Dra
15.75000000 +53.0000000 Boo  Dra
15.75000000 +51.5000000 Boo  Dra
15.75000000 +40.0000000 Boo  Her
15.43333333 +40.0000000 Boo  CrB
15.43333333 +33.0000000 Boo  CrB
15.18333333 +33.0000000 Boo  CrB
15.18333333 +26.0000000 Boo  CrB
15.08333333 +26.0000000 Boo  Ser1
15.08333333 +08.0000000 Boo  Ser1
 4.26666666 -40.0000000 Cae
 4.26666666 -37.0000000 Cae  Eri
 4.58333333 -37.0000000 Cae  Eri
 4.58333333 -30.0000000 Cae  Eri
 4.70000000 -30.0000000 Cae  Eri
 4.70000000 -27.2500000 Cae  Eri
 4.83333333 -27.2500000 Cae  Eri
 5.00000000 -27.2500000 Cae  Lep
 5.00000000 -43.0000000 Cae  Col
 4.83333333 -43.0000000 Cae  Pic
 4.83333333 -46.5000000 Cae  Pic
 4.50000000 -46.5000000 Cae  Pic
 4.50000000 -49.0000000 Cae  Pic
 4.26666666 -49.0000000 Cae  Dor
 4.26666666 -40.0000000 Cae  Hor
 6.10000000 +56.0000000 Cam
 5.00000000 +56.0000000 Cam  Aur
 5.00000000 +52.5000000 Cam  Aur
 4.69166666 +52.5000000 Cam  Aur
 3.33333333 +52.5000000 Cam  Per
 3.33333333 +55.0000000 Cam  Per
 3.16666666 +55.0000000 Cam  Per
 3.16666666 +57.0000000 Cam  Per
 3.10000000 +57.0000000 Cam  Per
 3.10000000 +68.0000000 Cam  Cas
 3.41666666 +68.0000000 Cam  Cas
 3.41666666 +77.0000000 Cam  Cas
 3.50833333 +77.0000000 Cam  Cep
 3.50833333 +80.0000000 Cam  Cep
 5.00000000 +80.0000000 Cam  Cep
 5.00000000 +85.0000000 Cam  Cep
 8.00000000 +85.0000000 Cam  Cep
 8.00000000 +86.5000000 Cam  Cep
14.50000000 +86.5000000 Cam  UMi
14.50000000 +80.0000000 Cam  UMi
13.58333333 +80.0000000 Cam  UMi
13.58333333 +77.0000000 Cam  UMi
13.00000000 +77.0000000 Cam  UMi
11.50000000 +77.0000000 Cam  Dra
11.50000000 +80.0000000 Cam  Dra
10.66666666 +80.0000000 Cam  Dra
10.66666666 +82.0000000 Cam  Dra
 9.16666666 +82.0000000 Cam  Dra
 9.16666666 +73.5000000 Cam  Dra
 7.96666666 +73.5000000 Cam  UMa
 7.96666666 +60.0000000 Cam  UMa
 7.00000000 +60.0000000 Cam  Lyn
 7.00000000 +62.0000000 Cam  Lyn
 6.10000000 +62.0000000 Cam  Lyn
 6.10000000 +56.0000000 Cam  Lyn
 9.25000000 +07.0000000 Cnc
 8.08333333 +07.0000000 Cnc  Hya
 7.92500000 +07.0000000 Cnc  CMi
 7.92500000 +10.0000000 Cnc  CMi
 7.80833333 +10.0000000 Cnc  CMi
 7.80833333 +13.5000000 Cnc  CMi
 7.80833333 +20.0000000 Cnc  Gem
 7.88333333 +20.0000000 Cnc  Gem
 7.88333333 +28.0000000 Cnc  Gem
 8.00000000 +28.0000000 Cnc  Gem
 8.00000000 +33.5000000 Cnc  Gem
 9.25000000 +33.5000000 Cnc  Lyn
 9.25000000 +07.0000000 Cnc  Leo
12.00000000 +34.0000000 CVn
12.00000000 +45.0000000 CVn  UMa
12.08333333 +45.0000000 CVn  UMa
12.08333333 +53.0000000 CVn  UMa
13.50000000 +53.0000000 CVn  UMa
13.50000000 +48.5000000 CVn  UMa
14.03333333 +48.5000000 CVn  UMa
14.03333333 +30.7500000 CVn  Boo
13.95833333 +30.7500000 CVn  Boo
13.95833333 +28.5000000 CVn  Boo
13.50000000 +28.5000000 CVn  Boo
13.25000000 +28.5000000 CVn  Com
13.25000000 +32.0000000 CVn  Com
12.33333333 +32.0000000 CVn  Com
12.33333333 +34.0000000 CVn  Com
12.00000000 +34.0000000 CVn  Com
 6.11666666 -11.0000000 CMa
 7.36666666 -11.0000000 CMa  Mon
 7.36666666 -33.0000000 CMa  Pup
 6.58333333 -33.0000000 CMa  Pup
 6.11666666 -33.0000000 CMa  Col
 6.11666666 -27.2500000 CMa  Col
 6.11666666 -11.0000000 CMa  Lep
 8.08333333 -00.0000000 CMi
 7.20000000 -00.0000000 CMi  Mon
 7.20000000 +01.5000000 CMi  Mon
 7.01666666 +01.5000000 CMi  Mon
 7.01666666 +05.5000000 CMi  Mon
 7.00000000 +05.5000000 CMi  Mon
 7.00000000 +10.0000000 CMi  Mon
 7.00000000 +12.5000000 CMi  Gem
 7.50000000 +12.5000000 CMi  Gem
 7.50000000 +13.5000000 CMi  Gem
 7.80833333 +13.5000000 CMi  Gem
 7.80833333 +10.0000000 CMi  Cnc
 7.92500000 +10.0000000 CMi  Cnc
 7.92500000 +07.0000000 CMi  Cnc
 8.08333333 +07.0000000 CMi  Cnc
 8.08333333 -00.0000000 CMi  Hya
20.53333333 -09.0000000 Cap
20.53333333 -15.0000000 Cap  Aqr
21.33333333 -15.0000000 Cap  Aqr
21.33333333 -09.0000000 Cap  Aqr
21.86666666 -09.0000000 Cap  Aqr
21.86666666 -25.5000000 Cap  Aqr
21.33333333 -25.5000000 Cap  PsA
21.33333333 -28.0000000 Cap  PsA
20.33333333 -28.0000000 Cap  Mic
20.00000000 -28.0000000 Cap  Sgr
20.00000000 -12.0333333 Cap  Sgr
20.00000000 -09.0000000 Cap  Aql
20.53333333 -09.0000000 Cap  Aql
11.25000000 -56.5000000 Car
11.25000000 -64.0000000 Car  Cen
11.25000000 -75.0000000 Car  Mus
 9.03333333 -75.0000000 Car  Cha
 9.03333333 -64.0000000 Car  Vol
 6.83333333 -64.0000000 Car  Vol
 6.83333333 -58.0000000 Car  Pic
 6.50000000 -58.0000000 Car  Pic
 6.50000000 -55.0000000 Car  Pic
 6.16666666 -55.0000000 Car  Pic
 6.16666666 -52.5000000 Car  Pic
 6.00000000 -52.5000000 Car  Pic
 6.00000000 -50.7500000 Car  Pic
 8.00000000 -50.7500000 Car  Pup
 8.16666666 -50.7500000 Car  Vel
 8.16666666 -53.0000000 Car  Vel
 8.45000000 -53.0000000 Car  Vel
 8.45000000 -54.5000000 Car  Vel
 8.83333333 -54.5000000 Car  Vel
 8.83333333 -56.5000000 Car  Vel
11.00000000 -56.5000000 Car  Vel
11.25000000 -56.5000000 Car  Cen
22.86666666 +52.5000000 Cas
22.86666666 +56.2500000 Cas  Lac
22.86666666 +59.0833333 Cas  Cep
23.16666666 +59.0833333 Cas  Cep
23.16666666 +63.0000000 Cas  Cep
23.58333333 +63.0000000 Cas  Cep
23.58333333 +66.0000000 Cas  Cep
 0.33333333 +66.0000000 Cas  Cep
 0.33333333 +77.0000000 Cas  Cep
 3.41666666 +77.0000000 Cas  Cep
 3.41666666 +68.0000000 Cas  Cam
 3.10000000 +68.0000000 Cas  Cam
 3.10000000 +57.0000000 Cas  Cam
 2.43333333 +57.0000000 Cas  Per
 2.43333333 +58.5000000 Cas  Per
 1.90833333 +58.5000000 Cas  Per
 1.90833333 +57.5000000 Cas  Per
 1.70000000 +57.5000000 Cas  Per
 1.70000000 +54.0000000 Cas  Per
 1.36666666 +54.0000000 Cas  Per
 1.36666666 +50.0000000 Cas  Per
 1.11666666 +50.0000000 Cas  And
 1.11666666 +48.0000000 Cas  And
 0.86666666 +48.0000000 Cas  And
 0.86666666 +46.0000000 Cas  And
 0.16666666 +46.0000000 Cas  And
 0.16666666 +48.0000000 Cas  And
23.58333333 +48.0000000 Cas  And
23.58333333 +50.0000000 Cas  And
23.33333333 +50.0000000 Cas  And
23.33333333 +52.5000000 Cas  And
22.86666666 +52.5000000 Cas  And
11.00000000 -35.0000000 Cen
12.25000000 -35.0000000 Cen  Hya
12.25000000 -33.0000000 Cen  Hya
12.58333333 -33.0000000 Cen  Hya
12.58333333 -29.5000000 Cen  Hya
14.91666666 -29.5000000 Cen  Hya
14.91666666 -42.0000000 Cen  Lup
14.16666666 -42.0000000 Cen  Lup
14.16666666 -55.0000000 Cen  Lup
14.53333333 -55.0000000 Cen  Lup
14.53333333 -64.0000000 Cen  Cir
13.50000000 -64.0000000 Cen  Cir
12.83333333 -64.0000000 Cen  Mus
12.83333333 -55.0000000 Cen  Cru
11.83333333 -55.0000000 Cen  Cru
11.83333333 -64.0000000 Cen  Cru
11.25000000 -64.0000000 Cen  Mus
11.25000000 -56.5000000 Cen  Car
11.00000000 -56.5000000 Cen  Car
11.00000000 -39.7500000 Cen  Vel
11.00000000 -35.0000000 Cen  Ant
20.00000000 +59.5000000 Cep
20.00000000 +61.5000000 Cep  Dra
20.41666666 +61.5000000 Cep  Dra
20.41666666 +67.0000000 Cep  Dra
20.66666666 +67.0000000 Cep  Dra
20.66666666 +75.0000000 Cep  Dra
20.16666666 +75.0000000 Cep  Dra
20.16666666 +80.0000000 Cep  Dra
21.00000000 +80.0000000 Cep  Dra
21.00000000 +86.0000000 Cep  Dra
21.00000000 +86.1666666 Cep  UMi
23.00000000 +86.1666666 Cep  UMi
23.00000000 +88.0000000 Cep  UMi
 8.00000000 +88.0000000 Cep  UMi
 8.00000000 +86.5000000 Cep  UMi
 8.00000000 +85.0000000 Cep  Cam
 5.00000000 +85.0000000 Cep  Cam
 5.00000000 +80.0000000 Cep  Cam
 3.50833333 +80.0000000 Cep  Cam
 3.50833333 +77.0000000 Cep  Cam
 3.41666666 +77.0000000 Cep  Cam
 0.33333333 +77.0000000 Cep  Cas
 0.33333333 +66.0000000 Cep  Cas
23.58333333 +66.0000000 Cep  Cas
23.58333333 +63.0000000 Cep  Cas
23.16666666 +63.0000000 Cep  Cas
23.16666666 +59.0833333 Cep  Cas
22.86666666 +59.0833333 Cep  Cas
22.86666666 +56.2500000 Cep  Cas
22.31666666 +56.2500000 Cep  Lac
22.31666666 +55.0000000 Cep  Lac
22.13333333 +55.0000000 Cep  Lac
22.13333333 +52.7500000 Cep  Lac
21.96666666 +52.7500000 Cep  Lac
21.96666666 +54.8333333 Cep  Cyg
20.60000000 +54.8333333 Cep  Cyg
20.60000000 +60.9166666 Cep  Cyg
20.53666666 +60.9166666 Cep  Cyg
20.53666666 +59.5000000 Cep  Cyg
20.00000000 +59.5000000 Cep  Cyg
 0.33333333 -00.0000000 Cet
 0.33333333 +02.0000000 Cet  Psc
 2.00000000 +02.0000000 Cet  Psc
 2.00000000 +09.9166666 Cet  Psc
 3.28333333 +09.9166666 Cet  Ari
 3.28333333 -00.0000000 Cet  Tau
 3.28333333 -01.7500000 Cet  Tau
 2.65000000 -01.7500000 Cet  Eri
 2.65000000 -24.3833333 Cet  Eri
 1.66666666 -24.3833333 Cet  For
 1.66666666 -25.5000000 Cet  For
23.83333333 -25.5000000 Cet  Scl
23.83333333 -07.0000000 Cet  Aqr
 0.33333333 -07.0000000 Cet  Psc
 0.33333333 -00.0000000 Cet  Psc
 7.66666666 -82.5000000 Cha
 7.66666666 -75.0000000 Cha  Men
 9.03333333 -75.0000000 Cha  Vol
11.25000000 -75.0000000 Cha  Car
13.66666666 -75.0000000 Cha  Mus
13.66666666 -82.5000000 Cha  Aps
 7.66666666 -82.5000000 Cha  Oct
13.50000000 -64.0000000 Cir
14.53333333 -64.0000000 Cir  Cen
14.53333333 -55.0000000 Cir  Cen
15.05000000 -55.0000000 Cir  Lup
15.33333333 -55.0000000 Cir  Nor
15.33333333 -60.0000000 Cir  Nor
15.33333333 -61.0000000 Cir  TrA
15.16666666 -61.0000000 Cir  TrA
15.16666666 -63.5833333 Cir  TrA
14.91666666 -63.5833333 Cir  TrA
14.91666666 -67.5000000 Cir  TrA
14.75000000 -67.5000000 Cir  TrA
14.75000000 -70.0000000 Cir  TrA
13.66666666 -70.0000000 Cir  Aps
13.66666666 -65.0000000 Cir  Mus
13.50000000 -65.0000000 Cir  Mus
13.50000000 -64.0000000 Cir  Mus
 5.00000000 -43.0000000 Col
 5.00000000 -27.2500000 Col  Cae
 6.11666666 -27.2500000 Col  Lep
 6.11666666 -33.0000000 Col  CMa
 6.58333333 -33.0000000 Col  CMa
 6.58333333 -43.0000000 Col  Pup
 6.00000000 -43.0000000 Col  Pup
 5.00000000 -43.0000000 Col  Pic
11.86666666 +14.0000000 Com
11.86666666 +29.0000000 Com  Leo
12.00000000 +29.0000000 Com  UMa
12.00000000 +34.0000000 Com  UMa
12.33333333 +34.0000000 Com  CVn
12.33333333 +32.0000000 Com  CVn
13.25000000 +32.0000000 Com  CVn
13.25000000 +28.5000000 Com  CVn
13.50000000 +28.5000000 Com  CVn
13.50000000 +15.0000000 Com  Boo
12.83333333 +15.0000000 Com  Vir
12.83333333 +14.0000000 Com  Vir
11.86666666 +14.0000000 Com  Vir
17.83333333 -37.0000000 CrA
19.16666666 -37.0000000 CrA  Sgr
19.16666666 -45.5000000 CrA  Sgr
18.00000000 -45.5000000 CrA  Tel
17.83333333 -45.5000000 CrA  Ara
17.83333333 -37.0000000 CrA  Sco
15.18333333 +26.0000000 CrB
15.18333333 +33.0000000 CrB  Boo
15.43333333 +33.0000000 CrB  Boo
15.43333333 +40.0000000 CrB  Boo
15.75000000 +40.0000000 CrB  Boo
16.33333333 +40.0000000 CrB  Her
16.33333333 +27.0000000 CrB  Her
16.16666666 +27.0000000 CrB  Her
16.16666666 +26.0000000 CrB  Her
16.03333333 +26.0000000 CrB  Her
15.18333333 +26.0000000 CrB  Ser1
12.83333333 -11.0000000 Crv
12.83333333 -22.0000000 Crv  Vir
12.58333333 -22.0000000 Crv  Hya
12.58333333 -24.5000000 Crv  Hya
11.83333333 -24.5000000 Crv  Hya
11.83333333 -11.0000000 Crv  Crt
12.83333333 -11.0000000 Crv  Vir
10.75000000 -06.0000000 Crt
11.51666666 -06.0000000 Crt  Leo
11.83333333 -06.0000000 Crt  Vir
11.83333333 -11.0000000 Crt  Vir
11.83333333 -24.5000000 Crt  Crv
10.83333333 -24.5000000 Crt  Hya
10.83333333 -19.0000000 Crt  Hya
10.75000000 -19.0000000 Crt  Hya
10.75000000 -11.0000000 Crt  Hya
10.75000000 -06.0000000 Crt  Sex
11.83333333 -55.0000000 Cru
12.83333333 -55.0000000 Cru  Cen
12.83333333 -64.0000000 Cru  Cen
11.83333333 -64.0000000 Cru  Mus
11.83333333 -55.0000000 Cru  Cen
19.25833333 +27.5000000 Cyg
19.25833333 +30.0000000 Cyg  Lyr
19.35833333 +30.0000000 Cyg  Lyr
19.35833333 +36.5000000 Cyg  Lyr
19.40000000 +36.5000000 Cyg  Lyr
19.40000000 +43.5000000 Cyg  Lyr
19.16666666 +43.5000000 Cyg  Lyr
19.16666666 +47.5000000 Cyg  Lyr
19.08333333 +47.5000000 Cyg  Lyr
19.08333333 +55.5000000 Cyg  Dra
19.41666666 +55.5000000 Cyg  Dra
19.41666666 +58.0000000 Cyg  Dra
19.76666666 +58.0000000 Cyg  Dra
19.76666666 +59.5000000 Cyg  Dra
20.00000000 +59.5000000 Cyg  Dra
20.53666666 +59.5000000 Cyg  Cep
20.53666666 +60.9166666 Cyg  Cep
20.60000000 +60.9166666 Cyg  Cep
20.60000000 +54.8333333 Cyg  Cep
21.96666666 +54.8333333 Cyg  Cep
21.96666666 +52.7500000 Cyg  Cep
21.96666666 +44.0000000 Cyg  Lac
21.90833333 +44.0000000 Cyg  Lac
21.90833333 +43.7500000 Cyg  Lac
21.87500000 +43.7500000 Cyg  Lac
21.87500000 +36.0000000 Cyg  Lac
21.73333333 +36.0000000 Cyg  Peg
21.73333333 +28.0000000 Cyg  Peg
21.41666666 +28.0000000 Cyg  Peg
20.91666666 +28.0000000 Cyg  Vul
20.91666666 +29.0000000 Cyg  Vul
19.66666666 +29.0000000 Cyg  Vul
19.66666666 +27.5000000 Cyg  Vul
19.25833333 +27.5000000 Cyg  Vul
20.53333333 +02.0000000 Del
20.30000000 +02.0000000 Del  Aql
20.30000000 +08.5000000 Del  Aql
20.14166666 +08.5000000 Del  Aql
20.14166666 +15.7500000 Del  Aql
20.25000000 +15.7500000 Del  Sge
20.25000000 +20.5000000 Del  Sge
20.56666666 +20.5000000 Del  Vul
20.56666666 +19.5000000 Del  Vul
21.05000000 +19.5000000 Del  Vul
21.05000000 +11.8333333 Del  Peg
20.87500000 +11.8333333 Del  Equ
20.87500000 +06.0000000 Del  Equ
20.83333333 +06.0000000 Del  Equ
20.83333333 +02.0000000 Del  Equ
20.53333333 +02.0000000 Del  Aqr
 3.83333333 -53.1666666 Dor
 3.83333333 -51.0000000 Dor  Hor
 4.08333333 -51.0000000 Dor  Hor
 4.08333333 -49.0000000 Dor  Hor
 4.26666666 -49.0000000 Dor  Hor
 4.50000000 -49.0000000 Dor  Cae
 4.50000000 -54.0000000 Dor  Pic
 5.00000000 -54.0000000 Dor  Pic
 5.00000000 -57.5000000 Dor  Pic
 5.50000000 -57.5000000 Dor  Pic
 5.50000000 -61.0000000 Dor  Pic
 6.00000000 -61.0000000 Dor  Pic
 6.00000000 -64.0000000 Dor  Pic
 6.58333333 -64.0000000 Dor  Pic
 6.58333333 -70.0000000 Dor  Vol
 4.58333333 -70.0000000 Dor  Men
 4.58333333 -67.5000000 Dor  Hyi
 4.58333333 -59.0000000 Dor  Ret
 4.33333333 -59.0000000 Dor  Ret
 4.33333333 -56.5000000 Dor  Ret
 4.00000000 -56.5000000 Dor  Ret
 4.00000000 -53.1666666 Dor  Ret
 3.83333333 -53.1666666 Dor  Ret
 9.16666666 +73.5000000 Dra
 9.16666666 +82.0000000 Dra  Cam
10.66666666 +82.0000000 Dra  Cam
10.66666666 +80.0000000 Dra  Cam
11.50000000 +80.0000000 Dra  Cam
11.50000000 +77.0000000 Dra  Cam
13.00000000 +77.0000000 Dra  Cam
13.00000000 +70.0000000 Dra  UMi
14.00000000 +70.0000000 Dra  UMi
14.00000000 +66.0000000 Dra  UMi
15.66666666 +66.0000000 Dra  UMi
15.66666666 +70.0000000 Dra  UMi
16.53333333 +70.0000000 Dra  UMi
16.53333333 +75.0000000 Dra  UMi
17.50000000 +75.0000000 Dra  UMi
17.50000000 +80.0000000 Dra  UMi
18.00000000 +80.0000000 Dra  UMi
18.00000000 +86.0000000 Dra  UMi
21.00000000 +86.0000000 Dra  UMi
21.00000000 +80.0000000 Dra  Cep
20.16666666 +80.0000000 Dra  Cep
20.16666666 +75.0000000 Dra  Cep
20.66666666 +75.0000000 Dra  Cep
20.66666666 +67.0000000 Dra  Cep
20.41666666 +67.0000000 Dra  Cep
20.41666666 +61.5000000 Dra  Cep
20.00000000 +61.5000000 Dra  Cep
20.00000000 +59.5000000 Dra  Cep
19.76666666 +59.5000000 Dra  Cyg
19.76666666 +58.0000000 Dra  Cyg
19.41666666 +58.0000000 Dra  Cyg
19.41666666 +55.5000000 Dra  Cyg
19.08333333 +55.5000000 Dra  Cyg
19.08333333 +47.5000000 Dra  Cyg
18.23333333 +47.5000000 Dra  Lyr
18.23333333 +50.5000000 Dra  Her
17.00000000 +50.5000000 Dra  Her
17.00000000 +51.5000000 Dra  Her
15.75000000 +51.5000000 Dra  Her
15.75000000 +53.0000000 Dra  Boo
15.25000000 +53.0000000 Dra  Boo
15.25000000 +55.5000000 Dra  Boo
14.41666666 +55.5000000 Dra  Boo
14.41666666 +63.0000000 Dra  UMa
13.50000000 +63.0000000 Dra  UMa
13.50000000 +64.0000000 Dra  UMa
12.00000000 +64.0000000 Dra  UMa
12.00000000 +66.5000000 Dra  UMa
11.33333333 +66.5000000 Dra  UMa
11.33333333 +73.5000000 Dra  UMa
 9.16666666 +73.5000000 Dra  UMa
20.83333333 +02.0000000 Equ
20.83333333 +06.0000000 Equ  Del
20.87500000 +06.0000000 Equ  Del
20.87500000 +11.8333333 Equ  Del
21.05000000 +11.8333333 Equ  Del
21.11666666 +11.8333333 Equ  Peg
21.11666666 +12.5000000 Equ  Peg
21.33333333 +12.5000000 Equ  Peg
21.33333333 +02.0000000 Equ  Peg
20.83333333 +02.0000000 Equ  Aqr
 3.58333333 -00.0000000 Eri
 4.61666666 -00.0000000 Eri  Tau
 4.66666666 -00.0000000 Eri  Ori
 4.66666666 -04.0000000 Eri  Ori
 5.08333333 -04.0000000 Eri  Ori
 5.08333333 -11.0000000 Eri  Ori
 4.91666666 -11.0000000 Eri  Lep
 4.91666666 -14.5000000 Eri  Lep
 4.83333333 -14.5000000 Eri  Lep
 4.83333333 -27.2500000 Eri  Lep
 4.70000000 -27.2500000 Eri  Cae
 4.70000000 -30.0000000 Eri  Cae
 4.58333333 -30.0000000 Eri  Cae
 4.58333333 -37.0000000 Eri  Cae
 4.26666666 -37.0000000 Eri  Cae
 4.26666666 -40.0000000 Eri  Cae
 3.86666666 -40.0000000 Eri  Hor
 3.86666666 -44.0000000 Eri  Hor
